id,type,casNumber,ecNumber,pubchem,label_en,hasBody,hasTarget,motivatedBy,broaderTransitive,definition,note,prefLabel,semanticRelation,narrowerTransitive
https://data.omgeving.vlaanderen.be/id/annotation/Biociden_Aanwezig_QYSXJUFSXHHAJI-FVUVGDFOSA-N,http://www.w3.org/ns/oa#Annotation,67-97-0,200-673-2,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5280795,Cholecalciferol,https://data.omgeving.vlaanderen.be/id/concept/zorgwekkende_stof/zorgwekkende_stof,https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/QYSXJUFSXHHAJI-FVUVGDFOSA-N,https://data.omgeving.vlaanderen.be/id/concept/zorgwekkende_stof/Biociden_Aanwezig,null,null,null,null,null,null
https://data.omgeving.vlaanderen.be/id/annotation/Biociden_Aanwezig_STJLVHWMYQXCPB-UHFFFAOYSA-N,http://www.w3.org/ns/oa#Annotation,60207-90-1,262-104-4,http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID43234,"(2RS</I>,4RS</I>|2RS</I>,4SR</I>)-1-{[2-(2,4-dichlorophenyl)-4-propyl-1,3-dioxolan-2-yl]methyl}-1H-1,2,4-triazole|propiconazole (ISO)",https://data.omgeving.vlaanderen.be/id/concept/zorgwekkende_stof/zorgwekkende_stof,https://data.omgeving.vlaanderen.be/id/concept/chemische_stof/STJLVHWMYQXCPB-UHFFFAOYSA-N,https://data.omgeving.vlaanderen.be/id/concept/zorgwekkende_stof/Biociden_Aanwezig,null,null,null,null,null,null
https://data.omgeving.vlaanderen.be/id/annotation/CLP_Aanwezig_100683-97-4,http://www.w3.org/ns/oa#Annotation,100683-97-4,309-667-5,null,"Distillates (petroleum), carbon-treated light paraffinic|Gasoil - unspecified|[A complex combination of hydrocarbons obtained by the treatment of a petroleum oil fraction with activated charcoal for the removal of traces of polar constituents and impuriti",https://data.omgeving.vlaanderen.be/id/concept/zorgwekkende_stof/zorgwekkende_stof,https://data.omgeving.vlaanderen.be/id/concept/sommatie_stoffen/100683-97-4,https://data.omgeving.vlaanderen.be/id/concept/zorgwekkende_stof/CLP_Aanwezig,null,null,null,null,null,null
https://data.omgeving.vlaanderen.be/id/annotation/CLP_Aanwezig_100683-98-5,http://www.w3.org/ns/oa#Annotation,100683-98-5,309-668-0,null,"Gasoil - unspecified|Distillates (petroleum), intermediate paraffinic, carbon-treated|[A complex combination of hydrocarbons obtained by the treatment of petroleum with activated charcoal for the removal of trace polar constituents and impurities. It cons",https://data.omgeving.vlaanderen.be/id/concept/zorgwekkende_stof/zorgwekkende_stof,https://data.omgeving.vlaanderen.be/id/concept/sommatie_stoffen/100683-98-5,https://data.omgeving.vlaanderen.be/id/concept/zorgwekkende_stof/CLP_Aanwezig,null,null,null,null,null,null
https://data.omgeving.vlaanderen.be/id/annotation/CLP_Aanwezig_100683-99-6,http://www.w3.org/ns/oa#Annotation,100683-99-6,309-669-6,null,"Gasoil - unspecified|Distillates (petroleum), intermediate paraffinic, clay-treated|[A complex combination of hydrocarbons obtained by the treatment of petroleum with bleaching earth for the removal of trace polar constituents and impurities. It consists",https://data.omgeving.vlaanderen.be/id/concept/zorgwekkende_stof/zorgwekkende_stof,https://data.omgeving.vlaanderen.be/id/concept/sommatie_stoffen/100683-99-6,https://data.omgeving.vlaanderen.be/id/concept/zorgwekkende_stof/CLP_Aanwezig,null,null,null,null,null,null
https://data.omgeving.vlaanderen.be/id/annotation/CLP_Aanwezig_100684-02-4,http://www.w3.org/ns/oa#Annotation,100684-02-4,309-672-2,null,"Distillate aromatic extract (treated)|Extracts (petroleum), light paraffinic distillate solvent, carbon-treated|[A complex combination of hydrocarbons obtained as a fraction from distillation of an extract recovered by solvent extraction of light paraffin",https://data.omgeving.vlaanderen.be/id/concept/zorgwekkende_stof/zorgwekkende_stof,https://data.omgeving.vlaanderen.be/id/concept/sommatie_stoffen/100684-02-4,https://data.omgeving.vlaanderen.be/id/concept/zorgwekkende_stof/CLP_Aanwezig,null,null,null,null,null,null
https://data.omgeving.vlaanderen.be/id/annotation/CLP_Aanwezig_100684-03-5,http://www.w3.org/ns/oa#Annotation,100684-03-5,309-673-8,null,"Distillate aromatic extract (treated)|Extracts (petroleum), light paraffinic distillate solvent, clay-treated|[A complex combination of hydrocarbons obtained as a fraction from distillation of an extract recovered by solvent extraction of light paraffinic",https://data.omgeving.vlaanderen.be/id/concept/zorgwekkende_stof/zorgwekkende_stof,https://data.omgeving.vlaanderen.be/id/concept/sommatie_stoffen/100684-03-5,https://data.omgeving.vlaanderen.be/id/concept/zorgwekkende_stof/CLP_Aanwezig,null,null,null,null,null,null
https://data.omgeving.vlaanderen.be/id/annotation/CLP_Aanwezig_100684-04-6,http://www.w3.org/ns/oa#Annotation,100684-04-6,309-674-3,null,"Distillate aromatic extract (treated)|Extracts (petroleum), light vacuum, gas oil solvent, carbon-treated|[A complex combination of hydrocarbons obtained by solvent extraction of light vacuum petroleum gas oil treated with activated charcoal for the remov",https://data.omgeving.vlaanderen.be/id/concept/zorgwekkende_stof/zorgwekkende_stof,https://data.omgeving.vlaanderen.be/id/concept/sommatie_stoffen/100684-04-6,https://data.omgeving.vlaanderen.be/id/concept/zorgwekkende_stof/CLP_Aanwezig,null,null,null,null,null,null
https://data.omgeving.vlaanderen.be/id/annotation/CLP_Aanwezig_100684-05-7,http://www.w3.org/ns/oa#Annotation,100684-05-7,309-675-9,null,"Distillate aromatic extract (treated)|Extracts (petroleum), light vacuum gas oil solvent, clay-treated|[A complex combination of hydrocarbons obtained by solvent extraction of light vacuum petroleum gas oils treated with bleaching earth for removal of tra",https://data.omgeving.vlaanderen.be/id/concept/zorgwekkende_stof/zorgwekkende_stof,https://data.omgeving.vlaanderen.be/id/concept/sommatie_stoffen/100684-05-7,https://data.omgeving.vlaanderen.be/id/concept/zorgwekkende_stof/CLP_Aanwezig,null,null,null,null,null,null
https://data.omgeving.vlaanderen.be/id/annotation/CLP_Aanwezig_100684-33-1,http://www.w3.org/ns/oa#Annotation,100684-33-1,309-706-6,null,"Petrolatum (petroleum), clay-treated|[A complex combination of hydrocarbons obtained by treatment of petrolatum with bleaching earth for the removal of traces of polar constituents and impurities. It consists predominantly of hydrocarbons having carbon nu",https://data.omgeving.vlaanderen.be/id/concept/zorgwekkende_stof/zorgwekkende_stof,https://data.omgeving.vlaanderen.be/id/concept/sommatie_stoffen/100684-33-1,https://data.omgeving.vlaanderen.be/id/concept/zorgwekkende_stof/CLP_Aanwezig,null,null,null,null,null,null
