"hasTarget","casNumber","ecNumber","label_en","CLP_Aanwezig","SVHC_Aanwezig","Restrict_Aanwezig","POP_Aanwezig","OSPAR_Aanwezig","WFD_Aanwezig","Gewas_Aanwezig","Biociden_Aanwezig","pubchem"
"AAADGWUCZIMSKQ-UHFFFAOYSA-M","16509-22-1","240-574-1","Copper diarsenite","0","0","1","0","0","0","0","0","http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID44153294"
"AADFAKZJDLLLCK-UHFFFAOYSA-K","21995-34-6","244-704-8","Ammonium neodymium(3+) disulphate","0","0","1","0","0","0","0","0","http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID170844043|http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID56843856"
"AAECWZSULYTBQR-UHFFFAOYSA-N","36341-27-2","252-984-8","salts of benzidine [","1","0","0","0","0","0","0","0","http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID118952"
"ABPJIMXUCFBSRQ-UHFFFAOYSA-H","62613-15-4","263-638-0","Diphenyliodonium hexafluoroarsenate","0","0","1","0","0","0","0","0","http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID92364"
"ABXFOTMKHPEYQJ-UHFFFAOYSA-N","94200-48-3","303-526-1","Diammonium 4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,13,13,14,14,15,15,16,16,17,17,17-nonacosafluoro-2-hydroxyheptadecyl phosphate","0","0","0","1","0","0","0","0","http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID44153654"
"ABXXWVKOBZHNNF-UHFFFAOYSA-N","24613-89-6","246-356-2","dichromium tris(chromate)|chromium III chromate|chromic chromate","1","1","0","0","0","0","0","0","http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID32520"
"ACAHRYLWSNWTFN-UHFFFAOYSA-N","1882109-66-1","","Pentanoic acid, 2,3,4,4,5,5,5-heptafluoro-3-(1,1,2,2,2-pentafluoroethyl)-2-(trifluoromethyl)-","0","0","0","1","0","0","0","0","http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID138396454"
"ACAQBDAOZYQPKR-UHFFFAOYSA-L","26264-48-2","247-560-4","Cadmium epoxyoctadecanoate","0","0","1","0","0","1","0","0","http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID57376412"
"ACGUYXCXAPNIKK-UHFFFAOYSA-N","70-30-4","200-733-8","phenol, 2,2'-methylenebis[3,4,6-trichloro-","0","0","0","0","1","0","0","0","http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID3598"
"ACKFDYCQCBEDNU-UHFFFAOYSA-J","546-67-8","208-908-0","Lead tetraacetate","0","0","1","0","0","1","0","0","http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID16684437"
"ACNRWWUEFJNUDD-UHFFFAOYSA-N","13510-89-9","236-845-9","Diantimony trilead octaoxide","0","0","1","0","0","1","0","0","http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID61636"
"ACPUVNIGVWZMRX-UHFFFAOYSA-N","60646-36-8","","Arsenic trichloride","0","0","1","0","0","0","0","0","http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID138395105"
"ACUMJPUCLKGCOC-UHFFFAOYSA-L","52847-85-5|27253-41-4","258-222-0|248-376-7","Lead bis(isononanoate)|Isononanoic acid, lead salt","0","0","1","0","0","1","0","0","http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID140563375|http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID117961"
"ACYYDFQOXMNIDS-UHFFFAOYSA-L","17861-62-0","","NITROUS ACID, NICKEL (2+) SALT","0","0","1","0","0","1","0","0","http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID5463923|http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID153698686"
"ADGNAMGSVYAHHD-UHFFFAOYSA-N","12503-53-6","","Nickel sulfide (Ni7S6)","0","0","1","0","0","1","0","0","http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID166709"
"ADHAUWMNDHMUMH-UHFFFAOYSA-L","34831-03-3","252-235-5","Hydrogen [N,N-bis(carboxymethyl)glycinato(3-)-N,O,O',O'']nickelate(1-)","0","0","1","0","0","1","0","0","http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID36939|http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID73555743"
"ADHFORVSZXGTQQ-UHFFFAOYSA-J","38951-97-2","254-212-5","Bis[4,4'-dimethoxy-α,α'-stilbenedithiolato(2-)]nickel","0","0","1","0","0","1","0","0","http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID75584521|http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID170140"
"ADKVLNPBXBXIJO-UHFFFAOYSA-K","68141-02-6","268-824-5","Chromium(3+) perfluorooctanoate","0","0","0","1","0","0","0","0","http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID109631"
"AEKAZOFCTWJJCL-UHFFFAOYSA-M","63937-14-4","","Mercurous gluconate","0","0","0","0","0","1","0","0","http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID45473"
"AFCVKFFKAKDREZ-UHFFFAOYSA-M","2777-37-9","220-469-7","Chloro-o-tolylmercury","0","0","0","0","0","1","0","0","http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID76016|http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID101534094"
"AFDDMZHIXPLPGI-SYDNRQOSSA-L","67939-62-2","267-845-7","Cadmium dilinoleate","0","0","1","0","0","1","0","0","http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6441728"
"AFPIWWDEGJLLCL-UHFFFAOYSA-N","10099-76-0|15906-71-5|11120-22-2","233-246-4|240-047-6|234-363-3","Lead(2+) silicate|Lead silicate|Silicic acid, lead salt","0","0","1","0","0","1","0","0","http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID16686005|http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID16686005|http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID61535|http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID61535"
"AFPIWWDEGJLLCL-UHFFFAOYSA-N","11120-22-2","234-363-3","Silicic acid, lead salt","0","1","0","0","0","0","0","0","http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID16686005|http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID16686005|http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID61535|http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID61535"
"AFWOYEYXUDHGHF-UHFFFAOYSA-N","678-41-1","211-649-6","Bis(3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluorodecyl) hydrogen phosphate","0","0","0","1","0","0","0","0","http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID3022253"
"AFYAQDWVUWAENU-UHFFFAOYSA-H","14396-43-1|10381-36-9","","Phosphoric acid, nickel salt|trinickel bis(orthophosphate)","0","0","1","0","0","1","0","0","http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID165868"
"AFYAQDWVUWAENU-UHFFFAOYSA-H","10381-36-9","233-844-5","trinickel bis(orthophosphate)","1","0","0","0","0","0","0","0","http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID165868"
"AGJBKFAPBKOEGA-UHFFFAOYSA-M","151-38-2","205-790-2","2-methoxyethylmercury acetate","0","0","0","0","0","1","0","0","http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID101633774|http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID13565752|http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID16682936"
"AGZCHLPJCXXPDM-UHFFFAOYSA-N","65119-94-0","265-457-2","Lead dibutanolate","0","0","1","0","0","1","0","0","http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID16703363|http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6455035"
"AHGSKSYDMRZICE-UHFFFAOYSA-N","14167-20-5","624-036-7","N,N'-Bis(salicylidene)ethylenediaminonickel(II)","0","0","1","0","0","1","0","0","http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6791662"
"AHJKRLASYNVKDZ-UHFFFAOYSA-N","72-54-8","200-783-0","benzene, 1,1'-(2,2- dichloroethylidene)bis[4-chloro-","0","0","0","0","1","0","0","0","http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6294"
"AHMNEBQYNJRCMB-UHFFFAOYSA-L","85292-77-9","286-637-7","Lead(2+) 4-(1,1-dimethylethyl)benzoate","0","0","1","0","0","1","0","0","http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID44153012"
"AHXGRMIPHCAXFP-UHFFFAOYSA-L","14977-61-8","239-056-8","chromyl dichloride|chromic oxychloride","1","0","0","0","0","0","0","0","http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID22150757"
"AIDFGYMTQWWVES-UHFFFAOYSA-K","15752-05-3","239-842-0","Triammonium hexachloroiridate","0","0","1","0","0","0","0","0","http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID11224929|http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID138398131|http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID13955979|http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID161145"
"AIVWIYIHAXBGHP-UHFFFAOYSA-N","57321-10-5","260-678-0","44-(nonylphenoxy)-3,6,9,12,15,18,21,24,27,30,33,36,39,42-tetradecaoxatetratetracontanol","0","1","0","0","0","0","0","0","http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6453460"
"AIYYMMQIMJOTBM-UHFFFAOYSA-L","373-02-4","206-761-7","nickel di(acetate)","1","0","1","0","0","1","0","0","http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID9756"
"AJSOQFSSIPJHMP-UHFFFAOYSA-N","911370-98-4","","4-(3-ethylpentyl)phenol","0","1","0","0","0","0","0","0","http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID18730076"
"AJVCEIPMQIRLFR-UHFFFAOYSA-N","21892-63-7","244-639-5","Methylenebis(diphenylarsine)","0","0","1","0","0","0","0","0","http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID89089"
"AKNPEMSZIKCOGC-UHFFFAOYSA-L","14977-61-8","239-056-8","chromyl dichloride|chromic oxychloride","1","0","0","0","0","0","0","0","http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID22150757"
"AKUZJQBOBCRXOK-UHFFFAOYSA-N","65321-67-7","265-697-8","toluene-2,4-diammonium sulphate|4-methyl-m-phenylenediamine sulfate","1","0","0","0","0","0","0","0","http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID45108317|http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID6455108"
"ALEHWDIPILHWRS-UHFFFAOYSA-N","70776-98-6","","2-ethylhexanoic acid|nickel|2,2,2-trifluoroacetic acid","0","0","1","0","0","1","0","0","http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID116698"
"ALEROMXYYSQFLX-UHFFFAOYSA-N","71850-09-4|68515-50-4","276-090-2|271-093-5","diisohexyl phthalate|1,2-benzenedicarboxylic acid, dihexyl ester, branched and linear","1","1","0","0","0","0","0","0","http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID236008|http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID8970"
"ALRLPDGCPYIVHP-UHFFFAOYSA-N","5522-43-0","226-868-2","pyrene, 1-nitro-","0","0","0","0","1","0","0","0","http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID21694"
"ALRNDEVMBWIXII-UHFFFAOYSA-G","164058-22-4","413-590-3","trisodium [4'-(8-acetylamino-3,6-disulfonato-2-naphthylazo)-4''-(6-benzoylamino-3-sulfonato-2-naphthylazo)-biphenyl-1,3',3'',1'''-tetraolato-O,O',O'',O''']copper(II)","1","0","0","0","0","0","0","0","http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID168355672"
"AMACQCMCZPHYIQ-UHFFFAOYSA-N","68958-89-4","273-379-5","Bis(ethane-1,2-diamine-N,N')nickel(2+) bis[bis(cyano-C)aurate(1-)]","0","0","1","0","0","1","0","0","http://rdf.ncbi.nlm.nih.gov/pubchem/compound/CID111928"
