"hasTarget","CAS.nummer","EC.Nummer","Stofnaam_IUPAC","CLP_Aanwezig","SVHC_Aanwezig","Restrict_Aanwezig","POP_Aanwezig","OSPAR_Aanwezig","WFD_Aanwezig","Gewas_Aanwezig","Biociden_Aanwezig"
"","1000597-52-3","","Phosphonium, triphenyl(phenylmethyl)-, 1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluoro-1-hexanesulfonate (1:1)",0,1,0,1,0,0,0,0
"","10022-47-6","680-414-1","Ammonium chromic sulfate dodecahydrate",0,0,1,0,0,0,0,0
"","100258-44-4","309-388-9","Strychnidin-10-one, arsenite (1:1)",0,0,1,0,0,0,0,0
"","100402-53-7","309-489-8","Cadmium chloride phosphate (Cd5Cl(PO4)3), manganese-doped",0,0,1,0,0,1,0,0
"","100402-96-8","309-535-7","Silicic acid (H2SiO3), calcium salt (1:1), lead and manganese-doped",0,0,1,0,0,1,0,0
"","100403-63-2","309-609-9","Residues, zinc refining flue dust wastewater, mercury-selenium",0,0,0,0,0,1,0,0
"","10048-99-4","233-160-7","Barium tetraiodomercurate",0,0,0,0,0,1,0,0
"","10049-02-2","","Ammonium cerous sulfate tetrahydrate",0,0,1,0,0,0,0,0
"","100532-36-3","","4-(5-methylhexyl)phenol",0,1,0,0,0,0,0,0
"","10060-09-0","","Selenic acid, cadmium salt (1:1), dihydrate",0,0,1,0,0,1,0,0
"","100656-49-3","309-638-7","Lead, dross, vanadium-zinc-contg.",0,0,1,0,0,1,0,0
"","100656-53-9","309-642-9","Matte, copper-lead, tellurium-contg.",0,0,1,0,0,1,0,0
"","100656-55-1","309-645-5","Flue dust, copper-lead blast furnace, cadmium-indium-enriched",0,0,1,0,0,1,0,0
"","100683-97-4","309-667-5","Distillates (petroleum), carbon-treated light paraffinic|Gasoil - unspecified|[A complex combination of hydrocarbons obtained by the treatment of a petroleum oil fraction with activated charcoal for the removal of traces of polar constituents and impuriti",1,0,0,0,0,0,0,0
"","100683-98-5","309-668-0","Distillates (petroleum), intermediate paraffinic, carbon-treated|Gasoil - unspecified|[A complex combination of hydrocarbons obtained by the treatment of petroleum with activated charcoal for the removal of trace polar constituents and impurities. It cons",1,0,0,0,0,0,0,0
"","100683-99-6","309-669-6","Distillates (petroleum), intermediate paraffinic, clay-treated|Gasoil - unspecified|[A complex combination of hydrocarbons obtained by the treatment of petroleum with bleaching earth for the removal of trace polar constituents and impurities. It consists ",1,0,0,0,0,0,0,0
"","100684-02-4","309-672-2","Extracts (petroleum), light paraffinic distillate solvent, carbon-treated|Distillate aromatic extract (treated)|[A complex combination of hydrocarbons obtained as a fraction from distillation of an extract recovered by solvent extraction of light paraffin",1,0,0,0,0,0,0,0
"","100684-03-5","309-673-8","Extracts (petroleum), light paraffinic distillate solvent, clay-treated|Distillate aromatic extract (treated)|[A complex combination of hydrocarbons obtained as a fraction from distillation of an extract recovered by solvent extraction of light paraffinic",1,0,0,0,0,0,0,0
"","100684-04-6","309-674-3","Extracts (petroleum), light vacuum, gas oil solvent, carbon-treated|Distillate aromatic extract (treated)|[A complex combination of hydrocarbons obtained by solvent extraction of light vacuum petroleum gas oil treated with activated charcoal for the remov",1,0,0,0,0,0,0,0
"","100684-05-7","309-675-9","Extracts (petroleum), light vacuum gas oil solvent, clay-treated|Distillate aromatic extract (treated)|[A complex combination of hydrocarbons obtained by solvent extraction of light vacuum petroleum gas oils treated with bleaching earth for removal of tra",1,0,0,0,0,0,0,0
"","100684-33-1","309-706-6","Petrolatum (petroleum), clay-treated|[A complex combination of hydrocarbons obtained by treatment of petrolatum with bleaching earth for the removal of traces of polar constituents and impurities. It consists predominantly of hydrocarbons having carbon nu",1,0,0,0,0,0,0,0
